title,company,location,category,salary_min,salary_max,description,created,search_term,collected_at
Data Analyst,"A & G International Trade, Inc.","Green Valley, Clark County",IT Jobs,61373.33,61373.33,"Validate e-commerce data; manage database systems, Mail Resume to Job Site: A & G International Trade, Inc., 2050 Mountain City St, Henderson, NV 89052, No Calls.",2026-04-26 14:32:18+00:00,data analyst,2026-05-20 11:51:10.851648
Data Analyst,Surya Systems,"Exton, Chester County",IT Jobs,81434.57,81434.57,"Surya Systems seeks Data Analyst at Exton, PA & various unanticipated locations in U.S.: Support & execute analysis in customer/product/business/cost/media/people domains. Req. Masters degree in IT & Mngmt, DA, MIS, / reltd.  1 yr. relev. exp. w/ Advanced SQL, Tableau, Python, & ETL. Req. travel/relocation within U.S. Salary: $140,150-$145K/yr. Mail resume: 120 E Uwchlan Avenue, Suite 203, Exton, PA 19341. Attention: HR",2026-05-02 00:15:45+00:00,data analyst,2026-05-20 11:51:10.851648
Data Analyst III,Talent Software Services,"North Pointe, Richland County",IT Jobs,57705.19,57705.19,"Job Title: Data Analyst III Job Location: Columbia, SC Job Type: Contract-to-Hire Interviews: 1st - Microsoft Teams & 2nd - In Person Required Education: Bachelor's degree in Statistics, Computer Science, Mathematics, Business, Healthcare, or other related field. Degree Equivalency: 2 year degree in Computer Science, Business or related field and 2 years of reporting and data analysis work experience. OR 4 years reporting and data analysis experience. Required Work Experience: 4 Years Research …",2026-05-19 21:58:30+00:00,data analyst,2026-05-20 11:51:10.851648
Data Analyst I,"US Tech Solutions, Inc.","Texas, US",IT Jobs,102308.64,102308.64,"Job Summary This position will be responsible for: Support effective decision-making through economic, financial and market analysis of critical issues, including capacity planning, price and cost modeling, and returns on investment. Support the capacity forecasting, budgeting and reporting efforts for operating expense, capital and resource allocation. Design and coordinate the development of systems and tools to keep pace with the group’s growing and rapidly changing businesses. Job Qualifica…",2026-05-14 01:40:00+00:00,data analyst,2026-05-20 11:51:10.851648
Senior Data Analyst - Hybrid,Genesis10,"Jersey City, Hudson County",IT Jobs,93636.01,93636.01,"Genesis10 is currently seeking a Senior Data Analyst for a Hybrid position with a Global Financial Institution located in Jersey City, NJ. This is a 6 month contract opportunity. We are seeking a senior level Data Analyst to support a Cyber Data Operations team. This individual will be adept at analyzing data sources, creating technical requirements, and scrubbing data from upstream source systems. They will work with both stakeholders and data development teams to understand the data sources b…",2026-05-13 22:27:10+00:00,data analyst,2026-05-20 11:51:10.851648
DLP Data Analyst - Hybrid,Genesis10,"Charlotte, Mecklenburg County",IT Jobs,90157.65,90157.65,"Genesis10 is currently seeking a DLP Data Analyst - Hybrid position with a Major Financial Institution located in Charlotte, NC. This is a 6 month contract opportunity. This role supports Data Loss Prevention and Data Security initiatives with the mission to protect the client's sensitive data. The ideal candidate will monitor alerts from data loss prevention technologies, perform initial triage and escalation, and partner with senior leaders to support incident validations. Responsibilities: M…",2026-05-13 22:27:01+00:00,data analyst,2026-05-20 11:51:10.851648
Operations Test and Data Analyst,JT4,"Colorado, US",IT Jobs,128589.01,128589.01,"JT4 is looking for an experienced Data Analyst / Operations Test Analyst to join their team at Hill AFB in Utah The role plans, coordinates, and executes full-cycle data requirements for developmental and operational testing of internal and external customer systems. Serves as the interface between instrumentation engineers and test customers to define, negotiate, and implement test requirements related to cost, data, and systems, while ensuring accurate parametric data collection, analysis, an…",2026-05-16 02:10:14+00:00,data analyst,2026-05-20 11:51:10.851648
Operations Test and Data Analyst,CareerBuilder,"Utah, US",IT Jobs,126026.49,126026.49,"JT4 is looking for an experienced Data Analyst / Operations Test Analyst to join their team at Hill AFB in Utah The role plans, coordinates, and executes full-cycle data requirements for developmental and operational testing of internal and external customer systems. Serves as the interface between instrumentation engineers and test customers to define, negotiate, and implement test requirements related to cost, data, and systems, while ensuring accurate parametric data collection, analysis, an…",2026-05-16 07:31:26+00:00,data analyst,2026-05-20 11:51:10.851648
Operations Test and Data Analyst,JT4,"Texas, US",IT Jobs,123492.78,123492.78,"JT4 is looking for an experienced Data Analyst / Operations Test Analyst to join their team at Hill AFB in Utah The role plans, coordinates, and executes full-cycle data requirements for developmental and operational testing of internal and external customer systems. Serves as the interface between instrumentation engineers and test customers to define, negotiate, and implement test requirements related to cost, data, and systems, while ensuring accurate parametric data collection, analysis, an…",2026-05-16 02:10:45+00:00,data analyst,2026-05-20 11:51:10.851648
Operations Test and Data Analyst,JT4,"New Mexico, US",IT Jobs,119588.23,119588.23,"JT4 is looking for an experienced Data Analyst / Operations Test Analyst to join their team at Hill AFB in Utah The role plans, coordinates, and executes full-cycle data requirements for developmental and operational testing of internal and external customer systems. Serves as the interface between instrumentation engineers and test customers to define, negotiate, and implement test requirements related to cost, data, and systems, while ensuring accurate parametric data collection, analysis, an…",2026-05-16 02:10:28+00:00,data analyst,2026-05-20 11:51:10.851648
